"","Year","Record_Count","Average_Wage","Total_Population","PUMS_Occupation","Sex"
"1",2020,62,87141.5371287129,1212,"Aerospace engineers","Female"
"2",2019,69,97561,1329,"Aerospace engineers","Female"
"3",2018,111,91652.0307979468,2143,"Aerospace engineers","Female"
"4",2017,172,91284.1475757576,3300,"Aerospace engineers","Female"
"5",2016,269,90339.9650429799,5235,"Aerospace engineers","Female"
"6",2015,336,91018.7976027917,6591,"Aerospace engineers","Female"
"7",2014,411,91357.2046230628,7614,"Aerospace engineers","Female"
"8",2020,502,120388.333574231,9686,"Aerospace engineers","Male"
"9",2019,576,117897.226040268,11175,"Aerospace engineers","Male"
"10",2018,855,113206.19713132,16593,"Aerospace engineers","Male"
"11",2017,1397,112013.289318443,26953,"Aerospace engineers","Male"
"12",2016,1924,108771.512576005,37333,"Aerospace engineers","Male"
"13",2015,2401,108166.781848063,46243,"Aerospace engineers","Male"
"14",2014,2924,108404.184211469,55838,"Aerospace engineers","Male"
"15",2019,47,109644.869369369,888,"Software developers","Female"
"16",2020,51,106030.316929134,1016,"Software developers","Female"
"17",2018,57,109708.511961722,1045,"Software developers","Female"
"18",2019,192,113804.466173092,3917,"Software developers","Male"
"19",2020,209,117616.732055283,4486,"Software developers","Male"
"20",2018,242,117556.790566038,4770,"Software developers","Male"
"21",2020,54,123549.383895131,1068,"Other managers","Female"
"22",2019,66,120174.78290469,1322,"Other managers","Female"
"23",2018,117,102561.527472527,2457,"Other managers","Female"
"24",2019,181,168674.005564142,3235,"Other managers","Male"
"25",2020,165,161846.782634731,3340,"Other managers","Male"
"26",2018,301,155208.791066814,5418,"Other managers","Male"
"27",2019,42,51447.1338199513,822,"Inspectors, testers, sorters, samplers, & weighers","Female"
"28",2020,43,52884.2503022975,827,"Inspectors, testers, sorters, samplers, & weighers","Female"
"29",2018,70,48372.1563610519,1407,"Inspectors, testers, sorters, samplers, & weighers","Female"
"30",2017,104,45196.566552901,2051,"Inspectors, testers, sorters, samplers, & weighers","Female"
"31",2020,100,57465.4254481854,2287,"Inspectors, testers, sorters, samplers, & weighers","Male"
"32",2019,117,58473.8925686591,2476,"Inspectors, testers, sorters, samplers, & weighers","Male"
"33",2016,134,44177.6406135866,2738,"Inspectors, testers, sorters, samplers, & weighers","Female"
"34",2015,154,43848.363697479,2975,"Inspectors, testers, sorters, samplers, & weighers","Female"
"35",2014,183,44602.4502189781,3425,"Inspectors, testers, sorters, samplers, & weighers","Female"
"36",2018,176,58844.0130434783,3450,"Inspectors, testers, sorters, samplers, & weighers","Male"
"37",2017,255,59205.6904296875,5120,"Inspectors, testers, sorters, samplers, & weighers","Male"
"38",2016,363,56572.7215596945,7463,"Inspectors, testers, sorters, samplers, & weighers","Male"
"39",2015,448,57047.6029918209,9292,"Inspectors, testers, sorters, samplers, & weighers","Male"
"40",2014,507,58076.1559160676,10294,"Inspectors, testers, sorters, samplers, & weighers","Male"
"41",2020,58,46989.986013986,858,"Other assemblers and fabricators","Female"
"42",2019,75,44793.4170506912,1302,"Other assemblers and fabricators","Female"
"43",2018,92,38810.9819770617,1831,"Other assemblers and fabricators","Female"
"44",2019,102,47797.2555613037,1933,"Other assemblers and fabricators","Male"
"45",2020,97,48826.8564683664,2118,"Other assemblers and fabricators","Male"
"46",2018,161,46578.3366275479,3238,"Other assemblers and fabricators","Male"
