ID Year,Year,ID Workforce Status,Workforce Status,Record Count,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,PUMS Occupation,ID PUMS Occupation,Slug PUMS Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry,Sex,ID Sex
2020,"2020","true","true",62,87141.53712871287,27384.070701640067,1212,854.7208397467682,"Aerospace engineers","172011","aerospace-engineers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2019,"2019","true","true",69,97561,27399.686059099844,1329,895.025259380228,"Aerospace engineers","172011","aerospace-engineers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2018,"2018","true","true",111,91652.0307979468,23248.151020841902,2143,1136.5345496726136,"Aerospace engineers","172011","aerospace-engineers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2017,"2017","true","true",172,91284.14757575758,19538.426332473813,3300,1410.3494314572765,"Aerospace engineers","172011","aerospace-engineers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2016,"2016","true","true",269,90339.96504297994,15756.317193599369,5235,1776.3356350097963,"Aerospace engineers","172011","aerospace-engineers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2015,"2015","true","true",336,91018.79760279169,14256.30545004575,6591,1993.1504647993454,"Aerospace engineers","172011","aerospace-engineers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2014,"2014","true","true",411,91357.20462306277,13171.675256151802,7614,2142.2446261995383,"Aerospace engineers","172011","aerospace-engineers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Female",2
2020,"2020","true","true",502,120388.33357423086,15262.957250905825,9686,2416.1995606141613,"Aerospace engineers","172011","aerospace-engineers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2019,"2019","true","true",576,117897.22604026846,13808.565831140582,11175,2595.267143990104,"Aerospace engineers","172011","aerospace-engineers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2018,"2018","true","true",855,113206.19713132044,10949.112001429821,16593,3162.3681217255103,"Aerospace engineers","172011","aerospace-engineers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2017,"2017","true","true",1397,112013.28931844322,8144.482375157126,26953,4030.300854834354,"Aerospace engineers","172011","aerospace-engineers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2016,"2016","true","true",1924,108771.51257600515,6483.257854803915,37333,4743.114649600138,"Aerospace engineers","172011","aerospace-engineers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
2015,"2015","true","true",2401,108166.78184806349,5670.030495760525,46243,5278.6793042711715,"Aerospace engineers","172011","aerospace-engineers","Aerospace products & parts manufacturing","33641M2","aerospace-products-parts-manufacturing","Male",1
