"Year","Gender","Pilot"
"2005","Men",573153
"2005","Women",36584
"2006","Men",561008
"2006","Women",36101
"2007","Men",554565
"2007","Women",35784
"2008","Men",575765
"2008","Women",37981
"2009","Men",557477
"2009","Women",36808
"2010","Men",585370
"2010","Women",42218
"2011","Men",575812
"2011","Women",41316
"2012","Men",569955
"2012","Women",40621
"2013","Men",559465
"2013","Women",39621
"2014","Men",554177
"2014","Women",39322
"2015","Men",550752
"2015","Women",39287
"2016","Men",545175
"2016","Women",39187
"2017","Men",566612
"2017","Women",42694
"2018","Men",586854
"2018","Women",46463
"2019","Men",611825
"2019","Women",52740
"2020","Men",633150
"2020","Women",58541
